"","Key","Bioregion","DateTime","Longitude","Latitude","Year","Month","Day","Time","DFO.Region","Station","Project","Twilight","Tow.Depth","Bottom.Depth","Volume.Filtered.m3","Tow.Ratio","Net.Type","Net.Mouth","Mesh.Size","Species.Richness","Diversity.Shannon","Diversity.Simpson","Diversity.Evenness","DayOfYear","Temp.net","Sali.net","Dens.net","MLD","Stratification","Oxyg.surf","Nitr.surf","Phos.surf","Sili.surf","Chla","Chla.micro","Chla.nano","Chla.pico","PAR","ZEU","POC","PIC","NPGO","PDO","ENSO","NPI"
"1","HAK201398000201","DeepShelf",2013-06-21 10:18:00,-128.24,51.705,2013,6,21,0.42917,"Hecate Strait","QCS01","QC Strait","Daylight",115,125,38.11,0.92,"Bongo VNH",0.5,250,23,1.37423680529161,0.611864060885948,0.438283954826044,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27101135253906,1.43795418712508,0.394573884836167,0.438483280577816,39.9269561767578,30.4039459228516,771.13232421875,0.000669998931698501,0.72592328,-0.78,27.3,1015.75
"2","HAK201398000301","Nearshore",2013-06-30 10:14:00,-128.24,51.705,2013,6,30,0.42708,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,37.66,1,"Bongo VNH",0.5,250,27,1.59379872836204,0.687674360562062,0.483579373967699,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27101135253906,1.43795418712508,0.394573884836167,0.438483280577816,39.9269561767578,30.4039459228516,771.13232421875,0.000669998931698501,0.72592328,-0.78,27.3,1015.75
"3","HAK201398000401","DeepShelf",2013-07-11 09:31:00,-128.24,51.705,2013,7,11,0.39722,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,35.2,1,"Bongo VNH",0.5,250,32,1.72976992489057,0.726300164570894,0.499106098503701,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0742974281311,2.92648896034306,0.601562004721145,0.546246463066897,48.3372573852539,21.8010787963867,352.718505859375,0.000429784849984571,0.45082111,-1.25,26.91,1018.26
"4","HAK201398000501","DeepFjord",2013-07-12 12:45:00,-127.56,51.521,2013,7,12,0.53125,"BC Inlets","DFO2","Rivers","Daylight",330,333,51.67,0.990990990990991,"Bongo VNH",0.5,250,30,1.98136839986991,0.803345146915242,0.582550254375893,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6062393188477,12.8529767990112,NA,NA,0.45082111,-1.25,26.91,1018.26
"5","HAK201398000601","DeepShelf",2013-07-19 09:04:00,-128.24,51.705,2013,7,19,0.37778,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,20.7,1,"Bongo VNH",0.5,250,22,1.72934043084564,0.735045936847576,0.559468353133349,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0742974281311,2.92648896034306,0.601562004721145,0.546246463066897,48.3372573852539,21.8010787963867,352.718505859375,0.000429784849984571,0.45082111,-1.25,26.91,1018.26
"6","HAK201398000701","DeepShelf",2013-08-01 10:38:00,-128.24,51.705,2013,8,1,0.44306,"Hecate Strait","QCS01","QC Strait","Daylight",125,125,43.16,1,"Bongo VNH",0.5,250,16,1.32681170583135,0.598962944460668,0.478546167049078,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33868885040283,1.49251927268051,0.401079172266451,0.445090405455872,28.329870223999,34.3050308227539,236.984619140625,0.000269757729256526,0.56139213,-1.04,26.47,1013.93
"7","HAK201398000801","DeepFjord",2013-08-08 11:05:00,-127.56,51.521,2013,8,8,0.46181,"BC Inlets","DFO2","Rivers","Daylight",320,333,97.95,0.960960960960961,"Bongo VNH",0.5,250,35,2.5007252764078,0.881128981687067,0.703370031051248,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33019622166951,5.67925088129199,1.16797537642015,0.48296996395737,30.0784683227539,15.578914642334,NA,NA,0.56139213,-1.04,26.47,1013.93
"8","HAK201399000601","DeepShelf",2013-04-06 11:55:00,-128.09,51.655,2013,4,6,0.49722,"BC Inlets","PRUTH","Calvert Island","Daylight",75,75,17.71,1,"Bongo VNH",0.5,250,27,2.10787762257573,0.843019246427245,0.63955763233245,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18092548847198,3.01587151690554,0.61625142405413,0.54880254751231,29.6366367340088,NA,NA,NA,0.4757454,-0.16,27.57,1016.05
"9","HAK201399000701","Nearshore",2013-04-17 19:48:00,-128.09,51.655,2013,4,17,0.82569,"BC Inlets","PRUTH","Calvert Island","Daylight",75,75,12.25,1,"Bongo VNH",0.5,250,20,1.76358853286039,0.762948253471241,0.588700314921051,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18092548847198,3.01587151690554,0.61625142405413,0.54880254751231,29.6366367340088,NA,NA,NA,0.4757454,-0.16,27.57,1016.05
"10","HAK201399000801","Nearshore",2013-04-28 10:05:00,-128.09,51.655,2013,4,28,0.42014,"BC Inlets","PRUTH","Calvert Island","Daylight",75,75,11.16,1,"Bongo VNH",0.5,250,21,1.27029705928941,0.492295430491037,0.417240169935909,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18092548847198,3.01587151690554,0.61625142405413,0.54880254751231,29.6366367340088,NA,NA,NA,0.4757454,-0.16,27.57,1016.05
